packet,recv_time_epoch,send_time_epoch,recv_time_iso,send_time_iso,processing_time_us,packet_size_bytes,from_ip,from_port
136,1769499453.812273979,1769499453.812324286,2026-01-27T09:37:33.812274,2026-01-27T09:37:33.812324,50.31,64,192.168.10.20,36879
137,1769499453.815749168,1769499453.815800667,2026-01-27T09:37:33.815749,2026-01-27T09:37:33.815801,51.50,64,192.168.10.20,36879
138,1769499453.819375753,1769499453.819431782,2026-01-27T09:37:33.819376,2026-01-27T09:37:33.819432,56.03,64,192.168.10.20,36879
139,1769499453.822921991,1769499453.822974920,2026-01-27T09:37:33.822922,2026-01-27T09:37:33.822975,52.93,64,192.168.10.20,36879
140,1769499453.826533794,1769499453.826589108,2026-01-27T09:37:33.826534,2026-01-27T09:37:33.826589,55.31,64,192.168.10.20,36879
141,1769499453.830070496,1769499453.830120802,2026-01-27T09:37:33.830070,2026-01-27T09:37:33.830121,50.31,64,192.168.10.20,36879
142,1769499453.833492517,1769499453.833544493,2026-01-27T09:37:33.833493,2026-01-27T09:37:33.833544,51.98,64,192.168.10.20,36879
143,1769499453.836902380,1769499453.836954832,2026-01-27T09:37:33.836902,2026-01-27T09:37:33.836955,52.45,64,192.168.10.20,36879
144,1769499453.840291262,1769499453.840340853,2026-01-27T09:37:33.840291,2026-01-27T09:37:33.840341,49.59,64,192.168.10.20,36879
145,1769499453.843673229,1769499453.843724251,2026-01-27T09:37:33.843673,2026-01-27T09:37:33.843724,51.02,64,192.168.10.20,36879
146,1769499453.847104549,1769499453.847154379,2026-01-27T09:37:33.847105,2026-01-27T09:37:33.847154,49.83,64,192.168.10.20,36879
147,1769499453.850514889,1769499453.850564003,2026-01-27T09:37:33.850515,2026-01-27T09:37:33.850564,49.11,64,192.168.10.20,36879
148,1769499453.854005575,1769499453.854053736,2026-01-27T09:37:33.854006,2026-01-27T09:37:33.854054,48.16,64,192.168.10.20,36879
149,1769499453.857551575,1769499453.857599020,2026-01-27T09:37:33.857552,2026-01-27T09:37:33.857599,47.45,64,192.168.10.20,36879
150,1769499453.861147881,1769499453.861201763,2026-01-27T09:37:33.861148,2026-01-27T09:37:33.861202,53.88,64,192.168.10.20,36879
151,1769499453.864536762,1769499453.864592552,2026-01-27T09:37:33.864537,2026-01-27T09:37:33.864593,55.79,64,192.168.10.20,36879
152,1769499453.867886543,1769499453.867935419,2026-01-27T09:37:33.867887,2026-01-27T09:37:33.867935,48.88,64,192.168.10.20,36879
153,1769499453.871155262,1769499453.871204615,2026-01-27T09:37:33.871155,2026-01-27T09:37:33.871205,49.35,64,192.168.10.20,36879
154,1769499453.874490976,1769499453.874542236,2026-01-27T09:37:33.874491,2026-01-27T09:37:33.874542,51.26,64,192.168.10.20,36879
155,1769499453.877906322,1769499453.877955437,2026-01-27T09:37:33.877906,2026-01-27T09:37:33.877955,49.11,64,192.168.10.20,36879
156,1769499453.881424904,1769499453.881474495,2026-01-27T09:37:33.881425,2026-01-27T09:37:33.881474,49.59,64,192.168.10.20,36879
157,1769499453.884965420,1769499453.885020256,2026-01-27T09:37:33.884965,2026-01-27T09:37:33.885020,54.84,64,192.168.10.20,36879
158,1769499453.888549328,1769499453.888602257,2026-01-27T09:37:33.888549,2026-01-27T09:37:33.888602,52.93,64,192.168.10.20,36879
159,1769499453.892081261,1769499453.892141819,2026-01-27T09:37:33.892081,2026-01-27T09:37:33.892142,60.56,64,192.168.10.20,36879
160,1769499453.895469666,1769499453.895525455,2026-01-27T09:37:33.895470,2026-01-27T09:37:33.895525,55.79,64,192.168.10.20,36879
161,1769499453.898837328,1769499453.898888350,2026-01-27T09:37:33.898837,2026-01-27T09:37:33.898888,51.02,64,192.168.10.20,36879
162,1769499453.902122736,1769499453.902172327,2026-01-27T09:37:33.902123,2026-01-27T09:37:33.902172,49.59,64,192.168.10.20,36879
