sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
96,ok,1769521223.467190981,1769521223.467845917,2026-01-27T15:40:23.467191,2026-01-27T15:40:23.467846,654.94,64,192.168.10.30,5005,
97,ok,1769521223.470737934,1769521223.471400023,2026-01-27T15:40:23.470738,2026-01-27T15:40:23.471400,662.09,64,192.168.10.30,5005,
98,ok,1769521223.474349737,1769521223.474989653,2026-01-27T15:40:23.474350,2026-01-27T15:40:23.474990,639.92,64,192.168.10.30,5005,
99,ok,1769521223.477893353,1769521223.478577614,2026-01-27T15:40:23.477893,2026-01-27T15:40:23.478578,684.26,64,192.168.10.30,5005,
100,ok,1769521223.481440544,1769521223.482032537,2026-01-27T15:40:23.481441,2026-01-27T15:40:23.482033,591.99,64,192.168.10.30,5005,
101,ok,1769521223.484900713,1769521223.485491037,2026-01-27T15:40:23.484901,2026-01-27T15:40:23.485491,590.32,64,192.168.10.30,5005,
102,ok,1769521223.488347530,1769521223.488915920,2026-01-27T15:40:23.488348,2026-01-27T15:40:23.488916,568.39,64,192.168.10.30,5005,
103,ok,1769521223.491744995,1769521223.492343187,2026-01-27T15:40:23.491745,2026-01-27T15:40:23.492343,598.19,64,192.168.10.30,5005,
104,ok,1769521223.495135069,1769521223.495723963,2026-01-27T15:40:23.495135,2026-01-27T15:40:23.495724,588.89,64,192.168.10.30,5005,
105,ok,1769521223.498569965,1769521223.499234676,2026-01-27T15:40:23.498570,2026-01-27T15:40:23.499235,664.71,64,192.168.10.30,5005,
106,ok,1769521223.502135277,1769521223.502763748,2026-01-27T15:40:23.502135,2026-01-27T15:40:23.502764,628.47,64,192.168.10.30,5005,
107,ok,1769521223.505732775,1769521223.506369352,2026-01-27T15:40:23.505733,2026-01-27T15:40:23.506369,636.58,64,192.168.10.30,5005,
108,ok,1769521223.509255171,1769521223.509948254,2026-01-27T15:40:23.509255,2026-01-27T15:40:23.509948,693.08,64,192.168.10.30,5005,
109,ok,1769521223.512853622,1769521223.513467073,2026-01-27T15:40:23.512854,2026-01-27T15:40:23.513467,613.45,64,192.168.10.30,5005,
110,ok,1769521223.516263485,1769521223.516848087,2026-01-27T15:40:23.516263,2026-01-27T15:40:23.516848,584.60,64,192.168.10.30,5005,
111,ok,1769521223.519681215,1769521223.520290375,2026-01-27T15:40:23.519681,2026-01-27T15:40:23.520290,609.16,64,192.168.10.30,5005,
112,ok,1769521223.523058176,1769521223.523637056,2026-01-27T15:40:23.523058,2026-01-27T15:40:23.523637,578.88,64,192.168.10.30,5005,
113,ok,1769521223.526452541,1769521223.527089834,2026-01-27T15:40:23.526453,2026-01-27T15:40:23.527090,637.29,64,192.168.10.30,5005,
114,ok,1769521223.529928923,1769521223.530563354,2026-01-27T15:40:23.529929,2026-01-27T15:40:23.530563,634.43,64,192.168.10.30,5005,
115,ok,1769521223.533432245,1769521223.534046888,2026-01-27T15:40:23.533432,2026-01-27T15:40:23.534047,614.64,64,192.168.10.30,5005,
116,ok,1769521223.536935091,1769521223.537545204,2026-01-27T15:40:23.536935,2026-01-27T15:40:23.537545,610.11,64,192.168.10.30,5005,
117,ok,1769521223.540427208,1769521223.541126728,2026-01-27T15:40:23.540427,2026-01-27T15:40:23.541127,699.52,64,192.168.10.30,5005,
118,ok,1769521223.544040203,1769521223.544646502,2026-01-27T15:40:23.544040,2026-01-27T15:40:23.544647,606.30,64,192.168.10.30,5005,
119,ok,1769521223.547474623,1769521223.548062325,2026-01-27T15:40:23.547475,2026-01-27T15:40:23.548062,587.70,64,192.168.10.30,5005,
120,ok,1769521223.550976515,1769521223.551605225,2026-01-27T15:40:23.550977,2026-01-27T15:40:23.551605,628.71,64,192.168.10.30,5005,
121,ok,1769521223.554414988,1769521223.554977417,2026-01-27T15:40:23.554415,2026-01-27T15:40:23.554977,562.43,64,192.168.10.30,5005,
122,ok,1769521223.557814360,1769521223.558421850,2026-01-27T15:40:23.557814,2026-01-27T15:40:23.558422,607.49,64,192.168.10.30,5005,
123,ok,1769521223.561274767,1769521223.561892748,2026-01-27T15:40:23.561275,2026-01-27T15:40:23.561893,617.98,64,192.168.10.30,5005,
124,ok,1769521223.564771891,1769521223.565355539,2026-01-27T15:40:23.564772,2026-01-27T15:40:23.565356,583.65,64,192.168.10.30,5005,
125,ok,1769521223.568196774,1769521223.568795681,2026-01-27T15:40:23.568197,2026-01-27T15:40:23.568796,598.91,64,192.168.10.30,5005,
126,ok,1769521223.571648836,1769521223.572298288,2026-01-27T15:40:23.571649,2026-01-27T15:40:23.572298,649.45,64,192.168.10.30,5005,
127,ok,1769521223.575214863,1769521223.575877190,2026-01-27T15:40:23.575215,2026-01-27T15:40:23.575877,662.33,64,192.168.10.30,5005,
128,ok,1769521223.578781128,1769521223.579490662,2026-01-27T15:40:23.578781,2026-01-27T15:40:23.579491,709.53,64,192.168.10.30,5005,
129,ok,1769521223.582397223,1769521223.582953453,2026-01-27T15:40:23.582397,2026-01-27T15:40:23.582953,556.23,64,192.168.10.30,5005,
130,ok,1769521223.585800886,1769521223.586426735,2026-01-27T15:40:23.585801,2026-01-27T15:40:23.586427,625.85,64,192.168.10.30,5005,
131,ok,1769521223.589272261,1769521223.589850903,2026-01-27T15:40:23.589272,2026-01-27T15:40:23.589851,578.64,64,192.168.10.30,5005,
